filename,split
ID_8d914da6_ID_b4eb9c8234.nii.gz,train
ID_8e8df8c0_ID_857231e0c6.nii.gz,train
ID_90233c1a_ID_51c49c9abf.nii.gz,train
ID_90b88b8b_ID_8d39c61ccd.nii.gz,train
ID_92ef7cc4_ID_b0c4006e93.nii.gz,train
ID_94271e7f_ID_50fb725eb8.nii.gz,train
ID_95c4a59c_ID_47aa7ea02b.nii.gz,test
ID_9631ec18_ID_c205d02b10.nii.gz,train
ID_96967deb_ID_5d782e9379.nii.gz,train
ID_96cd5341_ID_41b80bd3ec.nii.gz,train
ID_977da27d_ID_7ca7e2a2e4.nii.gz,test
ID_981d95a4_ID_ec08553ddc.nii.gz,train
ID_98450f26_ID_8d66ffdc94.nii.gz,train
ID_98fcfe52_ID_a8bbf4336d.nii.gz,train
ID_997f19cf_ID_8fc04eb1f5.nii.gz,train
ID_9a8ad2df_ID_0ec627c99a.nii.gz,train
ID_9ba3be10_ID_1c4e9f3c40.nii.gz,test
ID_9cc1c1a0_ID_8fb44d82d0.nii.gz,test
ID_9dce269b_ID_4191982e02.nii.gz,train
ID_9e0eaeeb_ID_be5b5b11eb.nii.gz,train
ID_9ed18606_ID_8cfe740d83.nii.gz,val
ID_a1703be5_ID_d0e02f0443.nii.gz,val
ID_a2ddcdfe_ID_d7aedfd21f.nii.gz,test
ID_a40e10b0_ID_18c55dad14.nii.gz,test
ID_a429fd9a_ID_2eabc43f3d.nii.gz,val
ID_a554892c_ID_7d5bccea0e.nii.gz,val
ID_a72de500_ID_87b2b4fc60.nii.gz,train
ID_a768755c_ID_3541b002ac.nii.gz,val
ID_a84354a5_ID_6699da85bb.nii.gz,val
ID_a9b3fedc_ID_3850bef0a3.nii.gz,test
ID_a9fe41fd_ID_ba000cea10.nii.gz,test
ID_aaf2973d_ID_4002bc3ced.nii.gz,train
ID_ab1ba874_ID_0c1c9bf0ae.nii.gz,train
ID_acaa9bd1_ID_02fe96388e.nii.gz,train
ID_ad252872_ID_74f728bfad.nii.gz,train
ID_af8ac3ec_ID_81a154bf08.nii.gz,train
ID_b14c7e8b_ID_fe3a6804e3.nii.gz,train
ID_b1d5d5e8_ID_4cfa36b63f.nii.gz,train
ID_b367130b_ID_debc60a9ba.nii.gz,train
ID_b3a33085_ID_175a5c4119.nii.gz,test
ID_b79a2d4a_ID_710cdb6530.nii.gz,val
ID_b80aec97_ID_2aa91505e6.nii.gz,train
ID_b85bdbe9_ID_cb52cd5d53.nii.gz,train
ID_b92014da_ID_a9310805a0.nii.gz,train
ID_b972b07f_ID_b5ace7f563.nii.gz,train
ID_ba3a77dd_ID_70715be365.nii.gz,train
ID_c08a7b51_ID_b98f437f69.nii.gz,test
ID_c1e1c4ef_ID_521bc36497.nii.gz,train
ID_c3769f3a_ID_32fc557515.nii.gz,val
ID_c488fbef_ID_ae4af6dd21.nii.gz,train
ID_c5479170_ID_6cc8f5463a.nii.gz,train
ID_c91d516c_ID_2d2f3d2953.nii.gz,test
ID_c9d6fdc6_ID_7f09be285d.nii.gz,train
ID_ca7bbeab_ID_228e9cbe5c.nii.gz,train
ID_cb4c887c_ID_ec2a4643f3.nii.gz,train
ID_ccbe16e6_ID_706deb5ba2.nii.gz,train
ID_cdaa21cb_ID_a5f7ae30f1.nii.gz,train
ID_cf8f428f_ID_61ec5a3e22.nii.gz,train
ID_d02f2ee1_ID_a732858fcd.nii.gz,train
ID_d039497d_ID_da6cc2290f.nii.gz,train
ID_d29d246b_ID_6121b401e7.nii.gz,train
ID_d2deede6_ID_799247e354.nii.gz,test
ID_d3d99dce_ID_cd10b6aba1.nii.gz,train
ID_d79fa3ff_ID_90d02c54ba.nii.gz,train
ID_d8e67d7d_ID_c182bd8176.nii.gz,val
ID_d9675573_ID_02237f7694.nii.gz,train
ID_daf22e49_ID_bf76e84f8d.nii.gz,train
ID_db89259c_ID_2c20aff0f9.nii.gz,val
ID_dd3d7720_ID_6a88b9c0eb.nii.gz,test
ID_df3f0a7d_ID_fbcdf807a8.nii.gz,train
ID_df935041_ID_32b8592d2c.nii.gz,train
ID_e05b3047_ID_3d78428b2d.nii.gz,train
ID_e1d9fe9d_ID_f73aea5186.nii.gz,test
ID_e2e2e522_ID_7b7b5543dc.nii.gz,train
ID_e393f193_ID_c81bf5f45d.nii.gz,val
ID_e3db11e0_ID_1863688c5b.nii.gz,train
ID_e566ef9b_ID_439ce9720b.nii.gz,train
ID_e714812a_ID_11a3b1afdc.nii.gz,train
ID_e8691c40_ID_4e6812b21a.nii.gz,train
ID_ea687366_ID_452c5f1f8c.nii.gz,train
ID_eac5718d_ID_5a2b7690df.nii.gz,val
ID_eb093f57_ID_0e2b33b4c9.nii.gz,val
ID_eb39f236_ID_d7edccdb08.nii.gz,train
ID_eb5a964a_ID_c2f5350a3f.nii.gz,train
ID_ec8a7bf0_ID_c853ba89ce.nii.gz,train
ID_ed6dfff7_ID_f54a5fd2c8.nii.gz,train
ID_f1a342da_ID_13d6f969d2.nii.gz,val
ID_f335b6db_ID_d180629430.nii.gz,train
ID_f4795940_ID_6317a06429.nii.gz,train
ID_faa3c13d_ID_c31106b8dc.nii.gz,train
ID_fb6d0135_ID_497840f16e.nii.gz,test
ID_fcbe7eda_ID_5726e1c630.nii.gz,val
